AARDVARKS,AARDVARK(South African) a nocturnal
AEPYORNIS,(Greek) a large fossil bird of Madagascar [n -ES]
AEQUORINS,AEQUORINa protein secreted by jellyfish [n]
AERATIONS,AERATIONexposure to the action of air [n]
AERIALIST,one who performs on the high wire or trapeze [n -S]
AERIALITY,the state of being aerial; insubstantiality [n AERIALITIES]
AERIFYING,AERIFYto infuse air into; to combine air with [v]
AEROBATIC,relating to the art of performing stunts in the air [adj]
AEROBIONT,an aerobean organism requiring oxygen to survive [n -S]
AEROBOMBS,AEROBOMBa bomb for dropping from aircraft [n]
AEROBRAKE,to use a planet's atmosphere to reduce the speed of a spacecraft [v AEROBRAKEDAEROBRAKING
AEROBUSES,AEROBUSa type of monorail that is suspended by an overhead cable [n]
AERODARTS,AERODARTan arrow-headed missile of steel dropped by an aircraft [n]
AERODROME,a place for aircraft [n -S]
AERODUCTS,AERODUCTa type of jet engine [n]
AERODYNES,AERODYNEa heavier-than-air aircraft (as an airplane
AEROFOILS,AEROFOILa structure which gives rise to a lift force when moving through the air
AEROGRAMS,AEROGRAMan airmail letter
AEROGRAPH,an airborne meteorological recording instrument [n -S]
AEROLITES,AEROLITEa meteorite [n]
AEROLITHS,AEROLITHa meteorite [n]
AEROLITIC,of or pertaining to aerolites; meteoric; asaerolitic iron [adj]
AEROLOGIC,relating to aerologythe study of the atmosphere [adj]
AEROMANCY,divination by means of the weather [n AEROMANCIES]
AEROMETER,an instrument for measuring the weight or density of gas [n -S]
AEROMETRY,the measurement of the weight or density of gases [n AEROMETRIES]
AEROMOTOR,an engine for aircraft [n -S]
AERONAUTS,AERONAUTa traveller through the air; a balloonist
AERONOMER,one who studies the earth's atmospherealso AERONOMIST [n -S]
AERONOMIC,relating to aeronomythe study of chemical and physical phenomena in the upper atmosphere [adj]
AEROPAUSE,the region of the earth's atmosphere above which aircraft cannot fly [n -S]
AEROPHAGY,spasmodic swallowing of air [n AEROPHAGIES]
AEROPHOBE,a person with a fear of flying [n -S]
AEROPHONE,any wind instrument [n -S]
AEROPHORE,a device for playing a wind instrument [n -S]
AEROPHYTE,a plant obtaining all its nourishment from the air; an epiphyte [n -S]
AEROPLANE,a flying machine [n -S]
AEROPULSE,a type of jet engine [n -S]
AEROSCOPE,a device for observing the atmosphere [n -S]
AEROSHELL,a form of parachute to enable a space vehicle to make a soft landing [n -S]
AEROSPACE,the Earth's atmosphere and the space beyond it [n -S]
AEROSPIKE,a rocket engine with a specially designed nozzle that allows the exhaust gases to expand and so to be used most efficiently [n -S]
AEROSTATS,AEROSTATany lighter-than-air craft e.g. a blimp or balloon
AEROTAXES,AEROTAXISmovement towards or from oxygen [n]
AEROTAXIS,movement towards or from oxygen [n AEROTAXES]
AEROTONES,AEROTONEa deep bath with massaging jets of compressed air [n]
AEROTRAIN,a train driven by an aircraft engineriding on a cushion of air [n -S]
AESCULINS,AESCULINa glucoside found in horse-chestnut bark [n]
AESTHESES,AESTHESISthe ability to receive sense impressions
AESTHESIA,the ability to receive sense impressionsalso AESTHESIS
AESTHESIS,the ability to receive sense impressionsalso AESTHESIA
AESTHETES,AESTHETEa person who affects an extravagant love of art [n]
AESTHETIC,keenly appreciative of the beautifulalso AESTHETICAL
AESTIVATE,to pass the summer in a state of torporalso ESTIVATE [v AESTIVATED
AETHEREAL,like a spiritalso ETHEREAL
AETIOLOGY,the science of causesesp. of disease
AFFEARING,AFFEARE(Spenser) to frighten
AFFECTERS,AFFECTERone who affects
AFFECTING,AFFECTto act upon [v]
AFFECTION,a fond feeling [n] / to love [v -ED-ING
AFFECTIVE,ofarising from or influencing emotion [adj AFFECTIVELY]
AFFEERING,AFFEER(archaic) to assess; to reduce to a certain fixed sum [v]
AFFERENTS,AFFERENTsomething that carries towards [n]
AFFIANCED,AFFIANCEto betroth [v]
AFFIANCES,AFFIANCEto betroth [v]
AFFIDAVIT,(Latin) a written statementconfirmed by oath
AFFILIATE,to adopt or attach as a member or branch [v AFFILIATEDAFFILIATING
AFFIRMANT,one who affirms or asserts [n -S]
AFFIRMERS,AFFIRMERone who affirms [n]
AFFIRMING,AFFIRMto state positively [v]
AFFIXABLE,able to be affixed [adj]
AFFIXMENT,something affixedalso AFFIXTURE [n -S]
AFFIXTURE,something affixedalso AFFIXMENT [n -S]
AFFLATION,the act of breathing upon; inspiration [n -S]
AFFLICTED,AFFLICTto distress severely [v]
AFFLICTER,one who afflicts [n -S]
AFFLUENCE,the state of being affluentalso AFFLUENCY [n -S]
AFFLUENCY,the state of being affluentalso AFFLUENCE [n AFFLUENCIES]
AFFLUENTS,AFFLUENTa stream that flows into another [n]
AFFLUENZA,a malaise said to affect affluent young peoplecharacterised by guilt feelings [n -S]
AFFLUXION,a flowing towards or togetheralso AFFLUX [n -S]
AFFOGATOS,AFFOGATO(Italian) a dessert made by pouring espresso coffee over ice cream [n]
AFFOORDED,AFFOORD(Spenser) to afford [v]
AFFORCING,AFFORCEto strengthen a jury by adding skilled people [v]
AFFORDING,AFFORDto have sufficient means for [v]
AFFORESTS,AFFORESTto cover with forest [v]
AFFRAPPED,AFFRAP(Spenser) to strike [v]
AFFRAYERS,AFFRAYERa disturber of the peace [n]
AFFRAYING,AFFRAYto disturb or frighten [v]
AFFRENDED,(Spenser) reconciled [adj]
AFFRICATE,a consonant that begins as a plosive and ends as a fricative [n -S] / to sound a consonant in this way [v AFFRICATEDAFFRICATING
AFFRIGHTS,AFFRIGHTto frighten [v]
AFFRONTED,AFFRONTto insult to one's face [v]
AFFRONTEE,(French) face to faceor front to front
AFFUSIONS,AFFUSIONthe act of pouring a liquid on [n]
AFLATOXIN,a toxin produced in foodstuffs by the action of the mould aspergillus [n -S]
AFOREHAND,beforehand [adv]
AFORESAID,mentioned previously [adj]
AFORETIME,in time past; formerly [adv]
AFTERBODY,any discarded part that continues to trail after a rocket or satellite [n AFTERBODIES]
AFTERBURN,the burning of additional calories post-exercise [n -S]
AFTERCARE,care subsequent to a period of treatment [n -S]
AFTERCLAP,an unexpected damaging or unsettling aftereffect [n -S]
AFTERDAMP,poisonous gas formed after the explosion of firedamp in a mine [n -S]
AFTERDECK,a deck behind a ship's bridge [n -S]
AFTEREYED,AFTEREYE(Shakespeare) to gaze after [v]
AFTEREYES,AFTEREYE(Shakespeare) to gaze after [v]
AFTERGAME,a rematch; a means employed after the first turn of affairs [n -S]
AFTERGLOW,a glow remaining after a light source has faded [n -S]
AFTERHEAT,the heat from fission products in a nuclear reactor after it has been shut down [n -S]
AFTERINGS,the last milk drawn when milking a cow [n]
AFTERLIFE,life after death [n AFTERLIVES or AFTERLIFES]
AFTERMAST,the mast nearest the stern [n -S]
AFTERMATH,a second mowing of grass in the same season [n -S]
AFTERMOST,hindmostas opposed to foremost [adj]
AFTERNOON,the time between morning and evening [n -S]
AFTERPAIN,pain that comes after a while [n -S]
AFTERPEAK,space behind the aftermost bulkheadoften used for storage [n -S]
AFTERSHOW,a party held after a public performance [n -S]
AFTERSUNS,AFTERSUNmoisturising lotion applied to the skin to soothe sunburn and prevent peeling [n]
AFTERTIME,the time after the present [n -S]
AFTERWARD,at a later timealso AFTERWARDS [adv]
AFTERWORD,an epilogue [n -S]
AGACERIES,AGACERIE(French) an allurement
AGALACTIA,the failure or inability to produce milk [n -S]
AGALLOCHS,AGALLOCH(Greek) the fragrant wood of a tropical tree
AGALWOODS,AGALWOODthe wood of the aloe
AGAMOGONY,asexual reproduction in protozoans characterised by multiple fission [n AGAMOGONIES]
AGARWOODS,AGARWOODa soft
AGATEWARE,a form of ceramic made to look like agate [n -S]
AGATISING,AGATISEto cause to resemble agate
AGATIZING,AGATIZEto cause to resemble agate
AGELASTIC,never laughing [adj]
AGELESSLY,AGELESSnever growing old [adv]
AGENESIAS,AGENESIAabsence or imperfection of a bodily part
AGENISING,AGENISEto treat flour with agene
AGENIZING,AGENIZEto treat flour with agene
AGENTINGS,AGENTINGthe business of an agent [n]
AGENTIVAL,of the performer of an action [adj]
AGENTIVES,AGENTIVEa grammatical case indicating the agent performing an action [n]
AGENTRIES,AGENTRYthe office or duties of an agent [n]
AGERATUMS,AGERATUMa flowering tropical plant [n]
AGFLATION,an economic situation in which increased demand causes an increase in the price of food productsand a potential rise in general inflation [n -S]
AGGRACING,AGGRACE(Spenser) to please
AGGRADING,AGGRADEto raise the level of a surface through depositing detritus [v]
AGGRATING,AGGRATE(Spenser) to please
AGGRAVATE,to make worse [v AGGRAVATEDAGGRAVATING
AGGREGATE,formed of parts that combine to make a whole [adj AGGREGATELY] / to cause to come together [v AGGREGATEDAGGREGATING
AGGRESSED,AGGRESSto attack first [v]
AGGRESSES,AGGRESSto attack first [v]
AGGRESSOR,one who aggresses [n -S]
AGGRIEVED,AGGRIEVEto distress [v]
AGGRIEVES,AGGRIEVEto distress [v]
AGILENESS,the state of being agile [n -ES]
AGILITIES,AGILITYnimbleness [n]
AGIOTAGES,AGIOTAGE(French) speculative manoeuvres in stocks and shares [n]
AGISTMENT,a land tax assessed for cattle pasturing [n -S]
AGITATING,AGITATEto stir violently [v]
AGITATION,the act of agitating [n -S]
AGITATIVE,tending to agitate [adj]
AGITATORS,AGITATORone that agitates [n]
AGITPROPS,AGITPROP(Russian) pro-Communist propaganda [n]
AGLOSSATE,relating to aglossiathe congenital lack of a tongue
AGLOSSIAS,AGLOSSIAthe congenital lack of a tongue [n]
AGLYCONES,AGLYCONEan organic compound
AGNATHANS,AGNATHANany of a family of eellike fishes
AGNATHOUS,lacking jawsesp. of hagfish and lampreys [adj]
AGNATICAL,pertaining to descent by the male line of ancestorsalso AGNATIC [adj AGNATICALLY]
AGNATIONS,AGNATIONrelationship traced through the male line [n]
AGNOLOTTI,a dish of small pasta shaped like half moons and usually filled with tortellini stuffing: boiled and served in broth or with a sauce [n -S]
AGNOMINAL,relating to an agnomenan additional name [adj]
AGNOSTICS,AGNOSTICone who believes that existence of God cannot be known but does not deny the possibility that God exists [n]
AGONISING,AGONISEto suffer agony
AGONISTES,(Greek) one who is in the grip of inner conflict [n AGONISTES]
AGONISTIC,relating to or being aggressive or argumentativealso AGONISTICAL [adj AGONISTICALLY]
AGONIZING,AGONIZEto suffer agony
AGRAPHIAS,AGRAPHIAthe inability to write [n]
AGRARIANS,AGRARIANone who favours equitable distribution of land [n]
AGREEABLE,pleasant [adj]
AGREEABLY,AGREEABLEpleasant [adv]
AGREEMENT,concordconformity [n -S]
AGREMENTS,AGREMENT(French) the approval by a state of a diplomatic representative sent to it [n]
AGRESTIAL,growing wild in cultivated ground (esp. of weeds)also AGRESTAL [adj]
AGRIOLOGY,the comparative study of primitive peoples [n AGRIOLOGIES]
AGRODOLCE,(Italian) an Italian sweet-and-sour sauce [n -S]
AGROLOGIC,relating to agrologythe study of agricultural soils [adj]
AGRONOMIC,relating to agronomyscientific agriculture [adj AGRONOMICALLY]
AGRYPNIAS,AGRYPNIAwakefulness; sleeplessness [n]
AGTERSKOT,(South African) the final payment to a farmer for crops [n -S]
AGUACATES,AGUACATE(Nahuatl) the avocado pear [n]
AGUEWEEDS,AGUEWEEDa North American plant of the gentian family
AHISTORIC,not historicalalso AHISTORICAL [adj]
AHUNGERED,(archaic) oppressed with hungeralso AHUNGRY
AHURUHURU,(Maori) a small pink cod of SW Pacific watersalso AHURU [n -S]
AIGRETTES,AIGRETTE(French) a tuft of feathers worn as a head ornament
AIGUILLES,AIGUILLE(French) a needlelike peak of rock [n]
AILANTHIC,of or like the ailanthus tree [adj]
AILANTHUS,(Amboina) an oriental treethe tree of heaven
AIMLESSLY,AIMLESSwithout aim [adv]
AIRBALLED,AIRBALLin basketball
AIRBOARDS,AIRBOARDan inflatable board that is used in the sport of airboarding [n]
AIRBRICKS,AIRBRICKa brick with holes in it
AIRBURSTS,AIRBURSTto explode in the air [v]
AIRBUSSES,AIRBUS(tradename) an aeroplane that provides the equivalent of a bus service
AIRCHECKS,AIRCHECKa recording made from a radio broadcast [n]
AIRDROMES,AIRDROMEan aerodrome [n]
AIRFIELDS,AIRFIELDan area where planes take off and land [n]
AIRFRAMES,AIRFRAMEthe body of an aircraft as opposed to its engine [n]
AIRGRAPHS,AIRGRAPHa letter photographically reduced for sending by air [n]
AIRHEADED,like an airhead [adj]
AIRLIFTED,AIRLIFTto transport by air [v]
AIRLINERS,AIRLINERa large passenger aircraft [n]
AIRMAILED,AIRMAILto send mail by airplane [v]
AIRMOBILE,relating to a military unit whose members are transported by air [adj]
AIRPLANES,AIRPLANEa winged aircraft propelled by jet engines or propellers [n]
AIRPOWERS,AIRPOWERmilitary air strength [n]
AIRPROOFS,AIRPROOFto make impermeable to air [v]
AIRPROXES,AIRPROXa near collision between aircraft in flight [n]
AIRSCAPES,AIRSCAPEa view of the earth from an aircraft [n]
AIRSCREWS,AIRSCREWan airplane propeller [n]
AIRSHAFTS,AIRSHAFTa passage for air e.g. in a mine [n]
AIRSPACES,AIRSPACEthe portion of atmosphere above a certain land area [n]
AIRSPEEDS,AIRSPEEDthe speed of an aircraft [n]
AIRSTREAM,a flow of air [n -S]
AIRSTRIKE,an attack by military aircraft [n -S]
AIRSTRIPS,AIRSTRIPa runway [n]
AIRWORTHY,suitable for flying [adj AIRWORTHIERAIRWORTHIEST]
AISLELESS,without an aisle [adj]
AISLEWAYS,AISLEWAYa passage for inside traffic [n]
AITCHBONE,the rump bone of cattle; the rump cut of beefalso EDGEBONE [n -S]
AKARYOTES,AKARYOTEa cell without a nucleus [n]
AKARYOTIC,of or like an akaryotea cell that does not have a nucleus [adj]
AKATHISIA,a psychological condition characterised by agitation and a frequent desire to alter the posturealso ACATHISIA [n -S]
AKINESIAS,AKINESIAloss of voluntary movement
AKOLUTHOS,(historical) the head of the Varangian guard of the Byzantine emperorsalso ACOLOUTHOS
ALABAMINE,an alternative name for the element astatine [n -S]
ALABASTER,a softsemitransparent gypsum [n -S]
ALACHLORS,ALACHLORa type of herbicide [n]
ALACKADAY,an expression of regret or deprecationalso LACKADAY [interj]
ALAIMENTS,ALAIMENTan allayment
ALALAGMOI,ALALAGMOS(Greek) a war-cry of 'alalai' [n]
ALALAGMOS,(Greek) a war-cry of 'alalai' [n ALALAGMOI]
ALARMABLE,that can be alarmed [adj]
ALARMEDLY,ALARMEDALARM
ALARMISMS,ALARMISMthe practice of alarming others needlessly [n]
ALARMISTS,ALARMISTone who alarms others needlessly [n]
ALARUMING,ALARUM(archaic) to alarm
ALASTRIMS,ALASTRIM(Portuguese) a mild form of smallpox [n]
ALBACORES,ALBACORE(Arabic) a large tuna fish
ALBARELLI,ALBARELLO(Italian) a cylindrical jar used to hold drugs [n]
ALBARELLO,(Italian) a cylindrical jar used to hold drugs [n ALBARELLOS or ALBARELLI]
ALBATROSS,a largelong-winged seabird [n -ES]
ALBERTITE,a bituminous mineral resembling asphaltfound in the county of Albert
ALBESCENT,becoming white [adj]
ALBESPINE,(archaic) hawthornalso ALBESPYNE [n -S]
ALBESPYNE,(archaic) hawthornalso ALBESPINE [n -S]
ALBICORES,ALBICORE(Arabic) a large tuna fish
ALBINISMS,ALBINISMthe condition of being an albino [n]
ALBINOISM,the state or condition of being an albinoalso ALBINISM [n -S]
ALBINOTIC,affected with albinism [adj]
ALBITICAL,pertaining to albitea white silicate
ALBITISED,ALBITISEto turn into albite
ALBITISES,ALBITISEto turn into albite
ALBITIZED,ALBITIZEto turn into albite
ALBITIZES,ALBITIZEto turn into albite
ALBIZZIAS,ALBIZZIAany of a genus of subtropical and tropical trees and shrubs in the mimosa subfamily
ALBRICIAS,(Spanish) an expression of joy [interj]
ALBUMOSES,ALBUMOSEa water-soluble protein [n]
ALBURNOUS,of or pertaining to alburnumthe white and softer part of wood [adj]
ALBURNUMS,ALBURNUMthe soft wood between inner bark and heartwood [n]
ALBUTEROL,a drug used to treat lung diseases [n -S]
ALCAHESTS,ALCAHEST(Arabic) the hypothetical universal solvent sought by alchemists
ALCARRAZA,(Spanish) a vessel of porous earthenwareused for cooling liquids by evaporation from the exterior surface [n -S]
ALCHEMIES,ALCHEMYthe infant stage of chemistry
ALCHEMISE,to change by alchemy; to transmutealso ALCHEMIZE [v ALCHEMISED
ALCHEMIST,a practitioner of alchemy [n -S]
ALCHEMIZE,to change by alchemy; to transmutealso ALCHEMISE [v ALCHEMIZED
ALCHYMIES,ALCHYMYthe infant stage of chemistry
ALCOHOLIC,related to alcohol [adj ALCOHOLICALLY] / one addicted to alcohol [n -S]
ALCOLOCKS,ALCOLOCKa breath-alcohol safety device fitted to the ignition of some cars [n]
ALDEHYDES,ALDEHYDEa volatile liquid obtained from alcohol by certain processes of oxidation [n]
ALDEHYDIC,of or pertaining to aldehyde; asaldehydic acid [adj]
ALDICARBS,ALDICARBa kind of pesticide [n]
ALDOLASES,ALDOLASEan enzyme [n]
ALDOXIMES,ALDOXIMEan oxime formed by reaction between hydroxylamine and an aldehyde [n]
ALEATORIC,dependent on chanceluck
ALECITHAL,of an ovumhaving little or no yolk [adj]
ALECTRYON,a sapindaceous tree of AustralasiaSoutheast Asia
ALEHOUSES,ALEHOUSEa tavern where ale is sold [n]
ALEMBROTH,an alchemists' word for mercury ammonium chlorideaka salt of wisdom [n -S]
ALERTNESS,the state of being alert [n -ES]
ALEURONES,ALEURONEa protein found in some seeds
ALEURONIC,of or like aleurona protein found in flour [adj]
ALEWASHED,(Shakespeare) affected by drinking beer [adj]
ALEXANDER,a kind of cocktailas in brandy alexander [n -S]
ALFAQUINS,ALFAQUIN(Arabic) a teacher of Muslim law
ALFERECES,ALFEREZ(Arabic) a standard-bearer [n]
ALFILARIA,(Spanish) a Californian weedaka pin grass
ALFILERIA,(Spanish) a Californian weedaka pin grass
ALGAECIDE,a substance for killing algaealso ALGICIDE [n -S]
ALGAROBAS,ALGAROBA(Arabic) the carob
ALGARROBA,(Arabic) the caroba leguminous tree of the Mediterranean region; its edible beans or pods
ALGARROBO,(Arabic) the caroba leguminous tree of the Mediterranean region; its edible beans or pods
ALGEBRAIC,relating to algebraalso ALGEBRAICAL [adj ALGEBRAICALLY]
ALGERINES,ALGERINEa kind of woollen fabric [n]
ALGICIDAL,having the property of killing algae [adj]
ALGICIDES,ALGICIDEa substance used to kill algae [n]
ALGIDNESS,the state of being algid [n -ES]
ALGINATES,ALGINATEa salt of alginic acid [n]
ALGOMETER,an instrument for measuring sensitivity to pressure or pain [n -S]
ALGOMETRY,the measurement of sensitivity to pressure or pain [n ALGOMETRIES]
ALGORISMS,ALGORISM(Arabic) the Arabic system of numeration [n]
ALGORITHM,a step-by-step procedure for solving a particular problem or set of problems [n -S]
ALGUACILS,ALGUACIL(Arabic) a Spanish arresting officer
ALGUAZILS,ALGUAZIL(Arabic) a Spanish arresting officer
ALIASINGS,ALIASINGimage imperfections resulting from limited detail in e.g. a raster display [n]
ALICYCLIC,denoting organic compounds that are both aliphatic and cyclici.e. aliphatic in chemical behaviour but having their carbon atoms in a ring
